ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-001,Proposal,,Key activities proposed for soil and water conservation in MWS-001,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_1.csv,
2,MWS-001,Proposal,,Details of Reported landslides in MWS-001,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_2.csv,
3,MWS-001,Proposal,,Unit rates of different vegetative cover improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_3.csv,
4,MWS-001,Proposal,,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_4.csv,
5,MWS-001,Proposal,,Unit rates for canals reservation protection by concrete lining,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_5.csv,
6,MWS-001,Proposal,,Unit rates of garbage traps and culverts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_6.csv,
7,MWS-001,Proposal,,Unit rates for Construction of Boulder / Rubble dams (SABO),,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_7.csv,
8,MWS-001,Proposal,,Unit rates to construct a ferro cement storage tank (35 Cu.m - internal 3m Dia x4m high),,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_8.csv,
9,MWS-001,Proposal,,Estimate of domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_9.csv,
10,MWS-001,Proposal,,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_10.csv,
11,MWS-001,Proposal,,Cost estimate of minor irrigation related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_11.csv,
12,MWS-001,Proposal,,Time frame for implementing domestic water and water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_12.csv,
13,MWS-001,Proposal,,Time frame for implementation of minor irrigation proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_13.csv,
14,MWS-001,Proposal,,Details related to water pollution in MWS-001 belongs to Deltota DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_14.csv,
15,MWS-001,Proposal,,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_15.csv,
16,MWS-001,Proposal,,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_16.csv,
17,MWS-001,Proposal,,Packaging and transport of agricultural produce,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_17.csv,
18,MWS-001,Proposal,,Potential for tourism development and promotion in the area,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_18.csv,
19,MWS-001,Proposal,,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_19.csv,
20,MWS-001,Proposal,,Key stakeholders of Forest lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_20.csv,
21,MWS-001,Proposal,,Forest lands in MWS-001,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_21.csv,
22,MWS-001,Proposal,,Vegetation cover vs population in MWS-001,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_22.csv,
23,MWS-001,Proposal,,Costing of the proposed activities for conserving the Forest/water resources,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_23.csv,
24,MWS-001,Proposal,,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_24.csv,
25,MWS-001,Proposal,,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_25.csv,
26,MWS-001,Proposal,,Five year plan MWS-001,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_26.csv,
27,MWS-001,Proposal,,Total estimated cost of production for the five-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_27.csv,
28,MWS-001,Proposal,,Livelihood challenges and community expectations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_28.csv,
29,MWS-001,Proposal,,Crop suitability,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_29.csv,
30,MWS-001,Proposal,,The annual production of export crops,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_30.csv,
31,MWS-001,Proposal,,Potential value-added production,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_31.csv,
32,MWS-001,Proposal,,Insurance service providers,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_32.csv,
33,MWS-001,Proposal,,Cost estimation of livelihood development activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_33.csv,
34,MWS-001,Proposal,,Timeframe for the implementation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_34.csv,
35,MWS-001,Proposal,,Contents of the agriculture productivity improvement training,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_35.csv,
36,MWS-001,Proposal,,Recommended training programs for Livelihood development and marketing,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_36.csv,
37,MWS-001,Proposal,,Expenditure Estimate for training programs,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_001/Table_6_37.csv,
