Table 6 20: Total Cost Estimate for Stream Reservation Proposals,,,,,
GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
971,Udadampola,"Poor reservation, and boundary making. Recommend1.Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.",7.245996,80.648483,261000
968,Pinnarawa stream (Okanda Ela),"Embankment erosion. Recommend 1. Public awareness 2. Creating a minimum reservation of about 1.5m in private land and planting a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 1.5m wide and 300m long reservation on both sides",7.239967,80.6780236,339150
961,Kivul Oya,"Embankment erosion. Recommend 1. Public awareness 2. Creating a minimum reservation of about 3m and plant a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc. for 3m wide and 500m long reservation on both sides.",7.24934,80.689677,261000
960,Batagalla Bridge over Thalathu Oya,"Inundation of paddy fields. Recommend 
1. Construction of RCC retaining wall of 12m long and 1.2 m high
2. reforesting with potential natural vegetation as described above for both sides over 1 km length and 3m wide strip",7.250588,80.688861,714600
986,Kandura 1 100m,Erosion due to surface runoff. Recommend excavating 1mx1m x100m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.251364,80.69423,25500
986,Kandura 2 100m,Erosion due to surface runoff. Recommend excavating 1mx1m x100m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.25203,80.69912,25500
986,Kandura 3 500m,Erosion due to surface runoff. Recommend excavating 1mx1m 500 m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.253377,80.69936,127500
986,Kandura 4 300m,Erosion due to surface runoff. Recommend excavating 1mx1m 200 m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.252991,80.70047,76500
986,Kandura 5 200m,Erosion due to surface runoff. Recommend excavating 1mx1m x300m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.252596,80.70123,51000
986,Kandura 6 100m,Erosion due to surface runoff. Recommend excavating 1mx1m x100m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.252957,80.70227,25500
986,Kandura 7 100m,Erosion due to surface runoff. Recommend excavating 1mx1m x100m long contour canal and side slopes are vegetated with riparian species and vetiver edging,7.25264,80.7026,25500
957,Sinharagama,Embankment erosion and prone to collapse. Recommended constructing an RCC retaining wall of 1.5m height x 20m long and backfilling.,7,#,865000
