Table 6 15: Cost estimate of minor irrigation related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
968,Gallena canal,Seepage and leak under the concrete lining. Recommended reservation protection by earth fill of 1.5m wide & 0.5m depth and growth of edible plants on side slope for 200m length.,7.241116/ 7.241353,80.673871 / 80.674285,180000
968,,,7.241451,80.674605,
968,,,7.241479,80.675296,
968,,,7.241116 / 7.241353,80.673871 / 80.674285,
968,,Damaged concrete lining and overflowing. Recommend 500mmx400mm X100mm (L) x30m long canal lining totally.,7.241185,80.676773,186450
,,,7.241327,80.677244,
,,,7.241569,80.676633,
,,,7.241634,80.67674,
968,Elle Oya,Erosion during rains. Recommend 200 sq.m natural potential vegetation with Kumbuk/Mee/Attikka etc.,7.242429,80.674888,57400
968,Ulpatha canal,Common seepage problem and farmers expect concrete lining. Recommended 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting at the slope edge for 200m length.,7.242836,80.675485,226000
968,,,7.242468,80.674785,
968,,,7.243394,80.676295,
968,,,7.243574,80.67648,
968,,,7.24335,80.67689,
968,,,7.243271,80.677835,
968,Madola canal,Seepage and weak embankment. Recommend 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting for 100m length.,7.244188,80.67655,
968,,,7.2439,80.676141,113000
968,Bolakumbura anicut and canal,Canal overflowing at weak locations. Recommend cleaning of anicut and Recommended 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting for 100m length.,7.2439,80.676141,140000
,,,7.243898,80.675995,
,,,7.244419,80.676238,
,,,7.2439,80.676141,
968,Madandawa canal,Canal seepage and farmers request concrete canal lining. Recommended 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting for 150m length.,7.244545,80.675858,170000
968,,,7.24473,80.675363,
968,,,7.244684,80.674225,
968,Agala pela canal,Canal seepage and leaks. Recommend 100m long areca nut planting for 100m length.,7.243861,80.673488,23600
,,,7.243786,80.673757,
968,Udubibila ela,Poor reservation. Farmers expect concrete lining. Recommended 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting for 100m length.,7.243815,80.673315,23600
968,Karanda Wala ela,Reservation not maintained and seepage. Farmers request concrete lining. Recommended 1.5m x0.5m earth fill reservation protection and growth of edible plants on a side slope with areca nut planting for 200m length.,7.246101,80.674242,226000
,,,7.246254,80.674172,
,,,7.246247,80.674206,
,,,7.247427,80.674188,
968,Elawanamulla ela,Damages in existing lining and canal overflow during water issues. Recommend 300mmx300mmx100mm rectangular concrete lining for 100m length with areca nut fence,7.245187,80.674678,687500
,,,7.245176,80.674478,
,,,7.245642,80.675689,
,,,7.245523,80.676017,
,,,7.245148,80.676757,
956,Kossinna historical pond,Heavily silted about 1.5m depth,7.255655,80.68328,227500
956,Aswedduma ela,"Heavy seepage at the downstream side, Recommend 1. Protection by construction of a concrete canal lining 100mm thick, 0.3m wide 0.3m high, and 300m long canal. 2. Construction of a Drainage under crossing with garbage trap using 600mm Dia concrete pipes and a GI gabion box cage.",7.258827,80.686048,717250
956,,,7.259076,80.686868,
956,,,7.258368,80.687281,
956,Gama meda Amuna 1,Anicut planks perished,7.26169,80.684589,18000
956,Gamammeda Kaduru ela,Heavy seepage at the downstream side,7.26169,80.684589,134325
956,Gama meda Amuna 2,Anicut planks perished,7.260373,80.683809,18000
960,Meekunuwala ela,"Excessive leak through the bund. Recommend 1. Canal protection by the construction of canal lining of 100mm thick, 0.3m wide and 0.3m high and 200m long canal lining. 2. Shoulder filling of 900 mm as a reservation protection and turfing on slope.",7.250565,80.689218,1507600
960,,,7.250434,80.689493,
960,,,7.250415,80.689984,
