Table 6 22: Total Cost Estimate for Stream Reservation Proposals,,,,,
GND No.,Scheme,Problem to be addressed / Recommendation,N,E,Estimated Cost
1038,Bopitiya Waththa,Soil erosion of land on both sides(1km). Recommend 1. To construct 1mx1mx1m x100m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 600m long.,7.18247,80.717048,341000
,,,7.185359,80.714571,
1038,Greatweliya Waththa,Soil erosion of land on both sides(100m). Recommend 1. To construct 1mx1mx1m x100m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 100m long.,7.178172,80.706074,223500
1038,Greatweliya Waththa towards Wanahapuwa tank,Soil erosion of land on both sides(4km). Recommend 1. To construct 1mx1mx1m x400m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 800m long.,7.183624,80.71018,988000
1038,Greatweliya Waththa,Soil erosion of land on both sides(300m). Recommend 1. To construct 1mx1mx1m x100m long leader drain 2. Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 300m long.,7.180185,80.706991,270500
1027,Goma Diya Pokuna,Soil erosion of land on both sides(1500m). Recommend 1. . Areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 800m long.,7.179496,80.736173,188000
1027,Kele Tank,"Soil erosion of land on both sides(1.5km).Recommend to make dense planting of mixed vegetation comprising Riparian varieties / Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna / local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1200 m2 ",7.175756,80.737184,640800
,,,7.177732,80.735544,
1027,Goma Diya Pokuna,Soil erosion of land on both sides(100m). Recommend to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 100m long.,7.178028,80.733524,47000
1027,Deltota main road,Soil erosion of land on both sides(250m). Recommend to plant areca nut rows and vetiver grass with pepper or betel cultivation strip of 2m wide and 200m long.,7.179595,80.731813,94000
