Table 6 16: Cost estimate of minor irrigation related proposals with locations,,,,,
GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
1027,Muwanpeni Ella anicut,The height of the anicut is insufficient. Irrigation canal is silted and covered with overgrowth due to poor maintenance. Recommend 1. to raise the anicut by casting a concrete capping of 300mm highx450mm wide x6m long. 2. To provide anicut planks of 1.4 Sq.m.,7.175838,80.730576,48500
1029,Murapola FC - 15 Sub Field Canal,"A part of the canal is not concrete lined. (L- 700m). Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.179506,80.74449,268650
1029,Murapola FC - 14 Sub Field Canal 1,"•Seepages towards the field side. (L- 200m). Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.177365,80.744773,179100
1029, FC - 14 Sub Field Canal 2,"•A part of the canal is not concrete lined. (L- 1000m). Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.177248,80.744765,358200
1029, FC - 13 Sub Field Canal 1,"•Water seeping into the banks on both sides. (L- 800m) Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.
2. Protection by turfing sods with vetiver grass rows. 
3. plant areca nut seedlings rows in both embankments. ",7.176977,80.743313,398000
1029, FC - 13 Sub Field Canal 2,"•Water seeping into the banks on both sides. (L- 800m) Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 400 m.
2. Protection by turfing sods with vetiver grass rows. 3. plant areca nut seedlings rows in both embankments. ",176835,80.743382,398000
1029, FC - 12 Sub Field Canal 1,"•A part of the canal is not concrete lined. (L- 70m). Recommend 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 100 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.175948,80.742052,89550
1029, FC - 12 Sub Field Canal 2,"•Water seeping into the banks on both sides. (L- 1000m). m Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 500 m.
2. Protection by turfing sods with vetiver grass rows. 
3. plant areca nut seedlings rows in both embankments. ",7.175795,80.74232,477750
1029,Paliyakumura anicut,"The temporary earthen anicut bund is weak and unserviceable. Recommend to construct an inverted ""T"" shape, 2.5m long x 0.25 thick x 1.5m high with 0.9m base concrete anicut with 0.8sq.m anicut planks. ",7.179265,80.74698,76500
1029,Paliyakumura canal,"•Water seeping into the banks on both sides. (L- 600m). Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 500 m.
2. Protection by turfing sods with vetiver grass rows. 3. plant areca nut seedlings rows in both embankments. ",7.179262,80.747618,472750
1028,Abake canal,"•The canal is not concrete lined, and seepages occur from the bottom of the canal. (L- 1200m). Recommend 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 700 m.
2. Protection by turfing sods with vetiver grass rows. 
3. plant areca nut seedlings rows in both embankments. ",7.161307,80.733096,661850
1028,Gane Mankada anicut,Absence of an anicut gate. Recommend providing anicut planks of 0. 7sq.m,7.161176,80.733135,3500
1028,Gane Mankada anicut,The driving head is insufficient. Perished anicut planks. Recommend raising the anicut height by a grade 25 concrete capping with dowels and provide planks. Capping size 0.3m (high) x0.45m (wide) x5m (long) and opening size 1.8m x0.9m ,7.161063,80.733075,68000
1028,Thel Kandura,"•Seepages from the canal towards the field side. (L- 900m) This leads to subsiding the banks. Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 700 m.
2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.161191,80.73194,626850
1028,Murapola canal,"•The reservation of Murapola canal is eroding at the field side. (3km). Recommend
1. Make dense strip planting of mixed vegetation comprising Areca nut trees /Kithul /Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna/Riparian species/Local fruits randomly mixed seedlings at 500 mm grid interval. 
2. Apply mulching, organic manure and NPK fertilizer. 
3. Introduction of riparian plants within water holes. Covered area 5000 m2.",7.160336,80.729357,2670000
1028,Wadurathota canal,"Canal overflows and the canal banks are landsliding. (1200m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 800 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.161682,80.733832,716500
1028,Ketampola canal 1,"•Seepages towards the field side. (L- 300m). Recommend to 1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. ",7.163431,80.736125,268650
1028,Ketampola canal 2,"•Overflow and seepages towards the field side. (L- 200m) . Recommend to
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 200 m.
2. Protection by turfing sods with vetiver grass rows. or 
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.162292,80.735892,199500
1028,Rajjupana canal,"•Overflow and seepages towards the field side. (L- 200m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 500 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.162292,80.735892,468500
1028,Kalugamuwa canal,"•Overflow and seepages towards the field side. (L- 200m). Recommend to
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m. 
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.164837,80.73198,299000
1028,Kekuna Kotuwa anicut,The driving head is insufficient. Perished anicut planks. Recommend to raise the anicut height by a grade 25 concrete capping with dowels and provide planks. Capping size 0.3m (high) x0.45m (wide) x8m (long) and opening size 1.1m x1.2m ,7.166217,80.739239,89500
1028,Bebiya canal,"Overflow and seepages towards the field side. (L- 200m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.166214,80.737059,299000
1028,Nadapitiya canal,"•Overflow and seepages towards the field side. (L- 200m). Recommend to 
1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 300 m.
2. Protection by turfing sods with vetiver grass rows. Or
3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface. 
4. Plant Areca nut seedlings in both sides at 1m spacing.",7.167656,80.737059,299000
1031,Eda Dambaye anicut and canal,"•Absence of an anicut. A part of the canal is not concrete lined, and seepages occur from the canal. (12 acres) (L- 1000m). Recommend
1. to construct inverted ""T"" shape profile for concrete wall (Length 6m x Height 1.2m x Thickness 0.3m) with foundation (Length 6m x Width 0.9m x Thickness 0.2m). 
2. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide for 600m length. 
3. Plant Areca nut seedlings in both sides at 1m spacing.
4. Protection by turfing sods with vetiver grass rows.",7.183555,80.748263,715420
