Table 6 40: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of Trainings,Duration in Days,Total # of Participants,Total cost (RS),Con. From DSD(RS),Project Con. (RS),Proposed training Partner
1,Training of Trainers (for selected officers at DSD level),The budget was allocated under MWS-003,,,,,,DOA/TBD
2,Water Management Training for the Development Officer of DAD ,The budget was allocated under MWS-003,,,,,,DAD/ KITI
3,Agriculture productivity improvement training for ARPAs and EDOs,The budget was allocated under MWS-003,,,,,,NRMC+ DEA
4,Good Practices in agrochemicals application for ARPAs and EDOs,The budget was allocated under MWS-003,,,,,,DOA/ NRMC/University 
5,Climate Change Adaptation Training for MWMC (including technical committee members),1,1,35,"    77, 650 ","     2, 500 ","  75, 150 ",DOA/University 
6,Construction Supervisory – Basic Training for Economic Development Officers,The budget was allocated under MWS-003,,,,,,District Engineer of District Secretariat 
7,Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT),The budget was allocated under MWS-003,,,,,,CBSL Matale Regional office/CBSL HO
8,Water Quality Parameters and Testing Training for EDO ,The budget was allocated under MWS-003,,,,,,NWS&DB/ NRMC
Training for Communities        ,,,,,,,,
9,"Exposure Visits to “A Park” for GPC, MDMWMC Members, and Farmer Leaders Selected by ARPA. One visit/GND",15,1,750,"  1, 578, 750 ",        -  ," 1, 578, 750 ",Agriculture Park DoA
10,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,15,1,750,"    974, 250 ",        -  ,"    974, 250 ",Natural Resources Management Center/DOA
11,Good Practices in agrochemicals application and Integrated pest management for GPC Community Members and Identified Farmers -One training/GND,15,1,750,"    974, 250 ",        -  ,"   974, 250 ",DOA
12,Field day for soil and water conservation practice and method for GPC community leaders and farmers,15,2-Jan,750,"    516, 750 ",        -  ,"    516, 750 ","AI, AR&PA and EDO/Natural Resources Management Center"
13,"Field Day for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",15,2-Jan,750,"    516, 750 ",        -  ,"   516, 750 ","AI, AR&PA and EDO"
14,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,15,1,750,"976, 500",-,"976, 500",DOA/NRMC
15,Green Skill and Green Technology Concept for Youth and GPC members ,15,1,600,"1, 101, 000","37, 500","1, 063, 500",DOA
16,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members of Women Development Organizations (WDOs),15,1,600,"578, 250",-,"578, 250",EDOs &SDO
17,Conduct Refresher Training on Household Money Management for GPC and Community Members ,15,2-Jan,600,"358, 500",-,"358, 500",EDO and SDO
18,Climate Change Adaptation training for GPC and selected farmers,15,1,750,"868, 500",-,"868, 500",AI and EDO
19,Conduct Field Day on Climatic Training Adaptation,15,2-Jan,750,"516, 750",-,"516, 750",AI & EDO
20,Career Guidance & Career Fair Event ,1,1,200,"100, 000","15, 000","85, 000",Skills Development Officer & Human Resources Development Assistant of DSD
21,Gender and Social Inclusion Training ,2,1,130,"153, 300","5, 000","148, 300",TBD
22,Community training on forest conservation,The budget was allocated under the Forest Plan,,,,,,Forest Department
23,Community Training - livelihood and Marketing,,,,"1, 120, 000",,,
,Total Estimated Budget ,169,,"8, 165","10, 411, 200","60, 000","9, 231, 200",
